address,bathrooms,bedrooms,finishedsqft,lastsoldprice,neighborhood,totalrooms
Address: 33 Santa Cruz Avenue #3,3,3,1738,830000,Outer Mission,6
Address: 3092 Market Street,3,3,2115,1880000,Corona Heights,6
Address: 2864 Sacramento Street,2,3,1768,1510000,Pacific Heights,8
Address: 470 12th Avenue,1.5,2,1630,1475000,Inner Richmond,6
Address: 3945 Clement Street,2.5,3,2209,1699000,Outer Richmond,6
Address: 124 Noriega Street,2,3,1484,1265000,Inner Sunset,7
Address: 495 Los Palmos Drive,1,3,1300,1098000,Westwood Highlands,7
Address: 283 Bemis Street,3,4,2020,2150000,Glen Park,9
Address: 530 Chestnut Street #407,2,2,1208,1180000,North Beach,5
Address: 999 Green Street #905,1,1,986,1275500,Russian Hill,4
Address: 75 Folsom Street #801,2,2,1287,1548000,South Beach,6
Address: 184 London Street,1,3,750,520000,Excelsior,5
Address: 16 Orizaba Avenue,6,6,4136,1300000,Outer Mission,15
Address: 333 Presidio Avenue #4,1,1,770,738000,Presidio Heights,4
Address: 2754 39th Avenue,2,3,1350,985000,Outer Parkside,4
Address: 815 Laguna Honda Boulevard,1.5,2,1791,1250000,Forest Hill Extension,7
Address: 135 Red Rock Way #311L,1,1,830,605000,Diamond Heights,3
Address: 174 Victoria Street,1,3,984,720000,Ingleside Heights,5
Address: 310 Townsend Street #311,1,1,853,900000,South of Market,4
Address: 51 Mirabel Avenue,1,2,875,1325000,Bernal Heights,4
Address: 134 Naples Street,1,2,1125,647500,Excelsior,5
Address: 4475 24th Street #2,1,2,837,839500,Noe Valley,4
Address: 6542 Fulton Street,1,2,994,800000,Outer Richmond,5
Address: 3535 Clement Street,3,4,2500,1830000,Outer Richmond,8
Address: 2660 Scott Street,8,7,9190,13075000,Pacific Heights,16
Address: 250 Bayview Circle,2,2,1301,765000,Silver Terrace,4
Address: 547 Campbell Avenue,1,3,1030,600000,Visitacion Valley,6
Address: 200 Townsend Street #45,2,1,856,875000,South of Market,4
Address: 3021 20th Street,2,1,1267,1100000,Mission,4
Address: 101 Lombard Street #116E,1,1,1000,800000,Telegraph Hill,4
Address: 2647 43rd Avenue,2,3,1232,1050000,Outer Parkside,7
Address: 1475 37th Avenue,1.5,2,1713,1137500,Outer Sunset,6
Address: 3038 Pierce Street,2,2,1150,1150000,Cow Hollow,5
Address: 842 Monterey Boulevard,1.5,4,1368,935000,Westwood Highlands,7
Address: 2020 Stockton Street,2,3,1786,1900000,Telegraph Hill,6
Address: 412 Pioche Street,1,1,890,710000,Portola,4
Address: 332 Gambier Street,1,3,1435,950000,Portola,7
Address: 601 Van Ness Avenue #405,2,2,881,825000,Van Ness - Civic Center,4
Address: 55 Page Street #415,1,1,750,895000,Van Ness - Civic Center,5
Address: 140 South Van Ness Avenue #631,2,2,1075,895000,South of Market,5
Address: 817 Carolina Street,1,3,1644,1275000,Potrero Hill,5
Address: 1250 Jones Street #503,1,1,1250,1405000,Nob Hill,6
Address: 725 Hampshire Street,1,2,1740,1575000,Mission,5
Address: 948 Hampshire Street,1,0,1215,3800000,Mission,4
Address: 924 Naples Street,1,3,1500,795000,Excelsior,6
Address: 250 Concord Street,3,4,1574,815000,Crocker Amazon,7
Address: 2299 Market Street #502,1,1,691,915000,Eureka Valley - Dolores Heights - Castro,3
Address: 4365 23rd Street,2,3,1567,2100000,Noe Valley,6
Address: 2075 Sutter Street #507,2,2,1084,1315000,Lower Pacific Heights,5
Address: 2013 Buchanan Street,2,3,2100,1994000,Lower Pacific Heights,6
Address: 350 Broderick Street #226,2,2,928,1095000,North Panhandle,5
Address: 710 Masonic Avenue,1,2,1405,1175000,North Panhandle,6
Address: 2730 Clement Street,2,4,3040,1200000,Central Richmond,12
Address: 1448 Oakdale Avenue,2,3,2066,860000,Bayview,7
Address: 450 Teresita Boulevard,1,2,1464,1090000,Miraloma Park,6
Address: 106 Circular Avenue,1,2,1064,728000,Sunnyside,5
Address: 260 King Street #703,2,2,1286,1275000,South of Market,4
Address: 1170 Sacramento Street #9B,2,2,1961,3800000,Nob Hill,4
Address: 2724 21st Street,3,3,1897,550000,Mission,6
Address: 580 Prentiss Street,1,2,918,950000,Bernal Heights,5
Address: 1146 Capitol Avenue,4,4,1717,1006000,Ingleside,8
Address: 4677 18th Street,2,3,1718,1566000,Eureka Valley - Dolores Heights - Castro,5
Address: 2270 9th Avenue,3.5,4,3548,2150000,Forest Hill,7
Address: 1260 Haight Street #5,1,2,1082,1050000,Haight-Ashbury,4
Address: 560 Haight Street #102,2,2,1034,1175000,Hayes Valley,5
Address: 574 18th Avenue,1.5,3,2050,1835000,Central Richmond,8
Address: 1618 38th Avenue,1,3,1775,1200000,Outer Sunset,6
Address: 2651 15th Avenue,2,3,2057,1500000,Inner Parkside,5
Address: 315 Arlington Street,1,2,1147,1000000,Glen Park,6
Address: 6 Mint Plaza #601A,1,1,606,840000,South of Market,4
Address: 1840 Washington Street #603,1,1,837,1050000,Pacific Heights,3
Address: 79 Bradford Street,2,2,900,875000,Bernal Heights,4
Address: 204 Anderson Street,2,2,1140,1425500,Bernal Heights,5
Address: 3942 Folsom Street,2.5,3,860,1800000,Bernal Heights,5
Address: 136 Seville Street,2,3,1257,890000,Crocker Amazon,6
Address: 32 Yukon Street,1,2,1119,1225000,Eureka Valley - Dolores Heights - Castro,5
Address: 3515 Washington Street,3,2,2760,3800000,Presidio Heights,8
Address: 1755 11th Avenue,1.5,2,1250,1002000,Inner Sunset,5
Address: 1863 32nd Avenue,2,2,1150,1099000,Central Sunset,5
Address: 15 Teresita Boulevard #14,2,2,886,691000,Miraloma Park,4
Address: 47 Colby Street,1,2,1655,1038000,Portola,6
Address: 601 Van Ness Avenue #605,2,2,1072,825000,Van Ness - Civic Center,5
Address: 1160 Mission Street #904,1,1,765,790000,South of Market,3
Address: 250 King Street #410,1,1,822,759000,South of Market,3
Address: 451 Kansas Street #448,2.5,2,1030,1155000,Potrero Hill,4
Address: 1177 California Street #304,1,1,645,790000,Downtown,3
Address: 723 Taylor Street #501,1,1,677,798000,Downtown,3
Address: 1 Daniel Burnham Court #1202,1,1,772,795000,Van Ness - Civic Center,3
Address: 1355 Pacific Avenue #403,1,1,880,1225000,Nob Hill,4
Address: 1051 Francisco Street,6,5,4650,9708000,Russian Hill,11
Address: 3660 Folsom Street,3,3,650,1950000,Bernal Heights,4
Address: 4217 22nd Street,2,2,1913,1800000,Noe Valley,5
Address: 4069 25th Street,1.5,5,1837,4100000,Noe Valley,8
Address: 2015 Pine Street #A,1,1,708,795000,Lower Pacific Heights,3
Address: 2223 27th Avenue,2,3,2378,1600000,Parkside,6
Address: 365 Magellan Avenue,3.5,5,3094,2350000,Forest Hill,8
Address: 978 Clayton Street,1,2,1585,1800000,Parnassus - Ashbury,5
Address: 623 23rd Avenue,1,2,1085,955000,Central Richmond,5
Address: 760 35th Avenue,5,8,3905,1810000,Outer Richmond,13
Address: 55 Mangels Avenue,2,3,1480,1450000,Glen Park,5
Address: 1015 Rhode Island Street,4,4,2381,1995000,Potrero Hill,9
Address: 1268 Dolores Street,2,2,1850,1438000,Eureka Valley - Dolores Heights - Castro,5
Address: 73 Carver Street,2,3,1325,1525000,Bernal Heights,5
Address: 28 Raleigh Avenue,1,2,1000,900000,Mission Terrace,4
Address: 34 Pope Street,2,5,2083,920000,Crocker Amazon,8
Address: 2471 43rd Avenue,1,2,1275,905000,Outer Parkside,4
Address: 2047 44th Avenue,1,2,1214,1003000,Outer Parkside,5
Address: 2745 Ulloa Street,2.5,4,1303,1180000,Parkside,5
Address: 120 Oshaughnessy Boulevard,1,3,1300,990000,Miraloma Park,6
Address: 280 Dalewood Way,2.5,3,1941,1275000,Miraloma Park,6
Address: 44 MacOndray Lane #2E,2,2,1165,1295000,Russian Hill,4
Address: 267 Clipper Street,1,3,1310,1725000,Noe Valley,6
Address: 631 Folsom Street #12B,2,2,1054,1275000,Yerba Buena,5
Address: 1080 Sutter Street #1003,1,2,753,770000,Downtown,4
Address: 1770 Pacific Avenue #103,2,2,1500,1760000,Pacific Heights,8
Address: 268 Thrift Street,1,2,1000,750000,Oceanview,4
Address: 70 Cotter Street,1,3,1290,850000,Mission Terrace,6
Address: 1142 Prague Street,2,0,1770,981000,Crocker Amazon,7
Address: 1264 Noe Street,1,2,1078,1250000,Noe Valley,6
Address: 46 Presidio Avenue,4,4,2750,3900000,Pacific Heights,9
Address: 2780 Broadway Street,6,5,6800,17100000,Pacific Heights,13
Address: 2466 18th Avenue,1,2,1150,1025000,Inner Parkside,5
Address: 326 29th Avenue,1,3,1675,1500000,Central Richmond,6
Address: 215 Red Rock Way #306J,1,1,744,599000,Diamond Heights,3
Address: 414 Shields Street,1,2,781,835000,Merced Heights,4
Address: 451 Kansas Street #631,2,2,928,1149000,Potrero Hill,4
Address: 1353 Green Street,2,2,1764,2300000,Russian Hill,5
Address: 116 Eugenia Avenue,1,2,1075,975000,Bernal Heights,6
Address: 10 Carmel Street,5.5,4,1960,2377500,Parnassus - Ashbury,6
Address: 149 Seal Rock Drive,1,2,1275,700000,Outer Richmond,5
Address: 1259 18th Avenue,3,3,2236,1500000,Inner Sunset,7
Address: 1310 10th Avenue,3,3,1880,1830000,Inner Sunset,6
Address: 447 Country Club Drive,1.75,3,1050,928000,Lakeshore,9
Address: 1234 Howard Street #2B3,1,1,888,960000,South of Market,4
Address: 956 South Van Ness Avenue,4,4,3500,2674000,Mission,13
Address: 80 Danton Street,3,3,2000,1610000,Mission Terrace,12
Address: 2921 Washington Street #5,1,1,1070,1000000,Pacific Heights,4
Address: 1727 34th Avenue,2,3,1845,1335000,Central Sunset,6
Address: 501 Junipero Serra Boulevard,2,4,2327,1700000,Ingleside Terrace,9
Address: 130 Chilton Avenue,1,2,728,1060000,Glen Park,4
Address: 681 Panorama Drive,2,3,1237,1204000,Midtown Terrace,6
Address: 179 Topaz Way,4.5,4,3692,2375000,Diamond Heights,7
Address: 59 Rodgers Street #B,1,1,800,800000,South of Market,2
Address: 1488 Harrison Street #103,2,1,1102,900000,South of Market,6
Address: 39 Boardman Place #101,1.5,1,1255,905000,South of Market,4
Address: 260 King Street #769,1,1,748,815000,South of Market,4
Address: 1895 Pacific Avenue #506,1,1,1165,975000,Pacific Heights,4
Address: 38 Sadowa Street,2.5,3,1360,720000,Oceanview,5
Address: 115 Sickles Avenue,1,3,1750,765000,Outer Mission,6
Address: 305 Guttenberg Street,2.5,4,1655,828000,Crocker Amazon,7
Address: 1874 San Jose Avenue,2,3,1771,975000,Mission Terrace,6
Address: 152 Eureka Street,2,4,2280,2400000,Eureka Valley - Dolores Heights - Castro,7
Address: 2514 40th Avenue,2,3,1490,1020000,Outer Parkside,5
Address: 2279 47th Avenue,3,4,2570,1030000,Outer Parkside,8
Address: 521 Magellan Avenue,1,2,1216,1509000,Forest Hill,5
Address: 270 Ewing Terrace,1,2,1250,1575000,Lone Mountain,5
Address: 591 29th Avenue,2.5,3,1800,1750000,Central Richmond,7
Address: 1466 44th Avenue,1,2,1130,892000,Outer Sunset,5
Address: 1422 42nd Avenue,1,3,1325,1220000,Outer Sunset,6
Address: 1795 Green Street,2,3,1647,2500000,Pacific Heights,6
Address: 52 Marne Avenue,2.5,4,1648,1300000,Miraloma Park,6
Address: 80 Edgehill Way,4,4,3495,2385000,Forest Hill Extension,9
Address: 277 Bemis Street,1,2,950,1150000,Glen Park,4
Address: 404 Gold Mine Drive,3,4,2271,1555000,Diamond Heights,9
Address: 3981 Alemany Boulevard #206,1,1,670,515000,Ingleside Heights,3
Address: 101 Crescent Way #2102,2,2,1063,488000,Bayview,5
Address: 155 Somerset Street,1,2,1550,975000,Portola,5
Address: 262 Castro Street,2,2,848,1700000,Corona Heights,4
Address: 1483 Sutter Street #1102,1,1,650,690000,Van Ness - Civic Center,3
Address: 630 Precita Avenue,2,5,1675,1083500,Bernal Heights,8
Address: 1573 34th Avenue,2,3,2400,1625000,Central Sunset,6
Address: 315 Moraga Street,3,3,1942,1667500,Inner Sunset,8
Address: 2091 Bancroft Avenue,3,4,2350,860000,Silver Terrace,8
Address: 501 Beale Street #9H,2,2,1161,1950100,South Beach,4
Address: 2600 18th Street #22,2,2,1662,1250000,Mission,5
Address: 797 Athens Street,1,2,925,570000,Excelsior,4
Address: 356 20th Avenue,3,4,2256,1650000,Central Richmond,8
Address: 1459 31st Avenue,2,4,2281,1290000,Central Sunset,8
Address: 1216 28th Avenue,2.5,5,2666,2021500,Central Sunset,8
Address: 76 Jennings Court,2,3,1212,575000,Bayview,6
Address: 656 Teresita Boulevard,2,3,1218,1230000,Miraloma Park,6
Address: 5553 Diamond Heights Boulevard,2.5,3,1890,1220000,Glen Park,6
Address: 147 Stillings Avenue,2,3,1700,1300000,Miraloma Park,5
Address: 1070 Green Street #201,2,2,1465,2900000,Russian Hill,5
Address: 380 10th Street #27,2,2,1305,1150000,South of Market,5
Address: 2250 24th Street #223,1,2,839,640000,Potrero Hill,4
Address: 3615 22nd Street,2.5,3,1519,1475000,Eureka Valley - Dolores Heights - Castro,7
Address: 429 Liberty Street,2,2,1990,2650000,Eureka Valley - Dolores Heights - Castro,7
Address: 22 22nd Avenue,1.5,2,2250,1310000,Lake,7
Address: 1314 Palou Avenue,3,4,1275,780000,Bayview,5
Address: 1635 Plymouth Avenue,3,4,2754,1800000,Westwood Highlands,7
Address: 256 Glenview Drive,2,3,1213,1192500,Midtown Terrace,6
Address: 125 Gilbert Street #17,1.5,1,1047,875000,South of Market,1
Address: 301 Main Street #T23C,1,1,809,1425000,South Beach,3
Address: 88 King Street #419,2,2,1115,1250000,South Beach,4
Address: 177 Townsend Street #527,2,2,1019,1300000,South Beach,4
Address: 260 King Street #1205,2,2,1488,1475000,South of Market,4
Address: 1101 Green Street #303,1,2,1003,1210000,Russian Hill,4
Address: 1257 Dolores Street #A,1,1,950,860000,Mission,5
Address: 1912 Golden Gate Avenue,2,3,1154,1775000,North Panhandle,5
Address: 2440 Bush Street #C,2.5,3,1810,2000000,Lower Pacific Heights,9
Address: 2955 Pacific Avenue,2,3,2160,3650000,Pacific Heights,6
Address: 472 12th Avenue,1,2,1508,1250000,Inner Richmond,6
Address: 2341 Francisco Street,3,2,1500,1575000,Marina,5
Address: 15 Scotia Avenue,2,3,1482,868000,Silver Terrace,5
Address: 48 Dellbrook Avenue,1,2,1056,850000,Midtown Terrace,5
Address: 288 Bemis Street,2,2,1263,1450000,Glen Park,6
Address: 400 Head Street,1,2,1162,700000,Ingleside Heights,5
Address: 1360 Montgomery Street #1,1,1,552,720000,Telegraph Hill,2
Address: 1150 Bowdoin Street,1,3,924,770000,Portola,7
Address: 300 Berry Street #1212,2,2,966,1230000,South of Market,5
Address: 1839 15th Street #356,1,1,897,853000,Mission,3
Address: 425 14th Street #4,2.5,2,1328,1500000,Mission,6
Address: 2548 Hyde Street,1.5,3,1362,1535000,Russian Hill,6
Address: 955 Excelsior Avenue,4,4,2134,1150000,Excelsior,7
Address: 849 Sanchez Street,3.5,3,2935,4100000,Eureka Valley - Dolores Heights - Castro,9
Address: 724 Masonic Avenue,1,1,420,412000,North Panhandle,2
Address: 286 27th Avenue,1,2,1367,950000,Lake,5
Address: 1351 10th Avenue,1,2,1152,1665000,Inner Sunset,5
Address: 1027 Ingerson Avenue,2,3,1430,375000,Bayview,7
Address: 1939 Quesada Avenue,1.5,2,875,705000,Silver Terrace,4
Address: 112 Chenery Street,2,3,1235,1680000,Glen Park,5
Address: 1533 Sutter Street,7.5,6,7375,5530000,Lower Pacific Heights,16
Address: 819 Francisco Street,3.5,2,2040,5600000,Russian Hill,7
Address: 979 Dolores Street,2,3,1405,1875000,Mission,7
Address: 265 Minerva Street,1.5,2,967,659000,Oceanview,5
Address: 886 30th Avenue,3,2,1990,1380000,Central Richmond,6
Address: 255 Corona Street,3,3,3027,2105000,Ingleside Terrace,8
Address: 135 Red Rock Way #112L,1,1,830,685000,Diamond Heights,3
Address: 1907 Leavenworth Street #8,1,2,956,908000,Russian Hill,5
Address: 8 Octavia Street,2,2,1001,2599000,Hayes Valley,5
Address: 50 Lansing Street #313,1,1,789,845000,South Beach,4
Address: 77 Dow Place #507,2,1,1075,950000,Yerba Buena,4
Address: 250 King Street #746,2,2,1083,1110000,South of Market,4
Address: 1950 Gough Street #405,1,1,950,1095000,Pacific Heights,4
Address: 199 Tiffany Avenue #202,2,2,1118,1190000,Bernal Heights,5
Address: 3709 25th Street,1,2,1160,1375000,Mission,5
Address: 284 Howth Street,1,2,1280,718000,Ingleside,5
Address: 456 Elizabeth Street,2,2,1410,2250000,Noe Valley,5
Address: 168 Jersey Street,4.5,4,1140,5700000,Noe Valley,5
Address: 131 Wilmot Street,1,2,828,1271500,Lower Pacific Heights,5
Address: 1970 Scott Street #4,2,2,1386,1461500,Lower Pacific Heights,5
Address: 706 Haight Street,2,2,1463,1675000,Hayes Valley,5
Address: 1641 Green Street,4,4,2442,4150000,Pacific Heights,7
Address: 1546 Innes Avenue,2,2,1629,665000,Bayview,7
Address: 61 Pinehurst Way,3,5,2730,1450000,Mount Davidson Manor,9
Address: 154 Yerba Buena Avenue,1.5,2,1700,2050000,St. Francis Wood,6
Address: 397 Valley Street,1,2,931,1125000,Noe Valley,5
Address: 1793 Sanchez Street,4,4,2110,2257000,Glen Park,8
Address: 43 Everson Street,3.5,6,4305,2350000,Glen Park,10
Address: 229 Brannan Street #9J,2,2,1412,1850000,South Beach,5
Address: 715 Amazon Avenue,2.5,3,2146,1300000,Excelsior,8
Address: 62 Havelock Street,4.5,4,3500,1600000,Mission Terrace,11
Address: 2439 44th Avenue,1,2,962,950000,Outer Parkside,4
Address: 640 Teresita Boulevard,2,3,1868,1650000,Miraloma Park,7
Address: 14 Hearst Avenue,1,2,1260,1175000,Sunnyside,6
Address: 8 Addison Street,2.5,3,1655,1700000,Glen Park,6
Address: 750 2nd Street #801,2.5,2,1960,2750000,South Beach,5
Address: 1177 California Street #1414,2.5,2,1399,1400000,Downtown,4
Address: 15 Prospect Avenue,4,4,1925,950000,Bernal Heights,12
Address: 3451 18th Street,1,3,1200,1200000,Mission,5
Address: 3663 Folsom Street,4,3,1267,2070000,Bernal Heights,7
Address: 139 Lobos Street,1,2,781,495000,Oceanview,4
Address: 44 Holloway Avenue,1,2,878,638500,Ingleside,5
Address: 1301 Waller Street #A,1,1,634,710000,Haight-Ashbury,2
Address: 2915 Judah Street,1,2,800,760000,Central Sunset,4
Address: 1491 Palou Avenue,2,3,1170,830000,Bayview,5
Address: 926 Teresita Boulevard,1,3,1381,1551000,Miraloma Park,5
Address: 231 Mangels Avenue,2,3,1354,1400000,Sunnyside,6
Address: 650 2nd Street #304,1.5,1,1798,1475000,South Beach,2
Address: 227 Precita Avenue,2,3,2250,522000,Bernal Heights,9
Address: 570 Lisbon Street,3,2,2253,800000,Excelsior,13
Address: 2209 Pacific Avenue,8.5,5,5894,9950000,Pacific Heights,11
Address: 2259 28th Avenue,1,3,2228,1055000,Parkside,8
Address: 2287 16th Avenue,2,4,2230,1250000,Inner Parkside,8
Address: 2829 Pierce Street,4,6,3766,2750000,Cow Hollow,12
Address: 172 Cervantes Boulevard,3.5,4,2500,4250000,Marina,8
Address: 231 Molimo Drive,2,3,1060,1010000,Miraloma Park,5
Address: 857 Colby Street,1,2,836,450000,Portola,4
Address: 325 Berry Street #108,2.5,2,1247,1351000,South of Market,5
Address: 1591 Jackson Street #305,1,1,668,625000,Nob Hill,3
Address: 3635 20th Street,3,6,4000,8125000,Mission,10
Address: 266 South Hill Boulevard,2,3,1592,1135000,Crocker Amazon,8
Address: 1469 Clayton Street,2,3,1943,1950000,Twin Peaks,6
Address: 2327 Bush Street,3.5,3,2082,2410000,Lower Pacific Heights,7
Address: 151 7th Avenue,1,3,1199,1200000,Lake,5
Address: 135 Locust Street,3.5,4,2150,5410000,Presidio Heights,8
Address: 3826 Lawton Street,1,2,950,910000,Outer Sunset,5
Address: 1844 Greenwich Street,3,3,2251,2682000,Cow Hollow,7
Address: 233 Topeka Avenue,1,2,887,720000,Silver Terrace,4
Address: 855 Barneveld Avenue,1,3,1339,750000,Portola,6
Address: 425 1st Street #2106,2,2,1238,1675000,South Beach,4
Address: 451 Kansas Street #378,1,1,700,749000,Potrero Hill,3
Address: 247 Connecticut Street,1,2,958,870000,Potrero Hill,4
Address: 1133 Wisconsin Street,1,2,793,895000,Potrero Hill,4
Address: 278 Clara Street,2,3,1462,1000000,South of Market,5
Address: 1810 Polk Street #1,1,1,778,850000,Nob Hill,3
Address: 1950 Gough Street #304,1,1,1040,1227000,Pacific Heights,4
Address: 1402 South Van Ness Avenue,3,3,1737,1500000,Mission,6
Address: 749 Guerrero Street,1.5,4,1575,1637500,Mission,6
Address: 102 Greenwood Avenue,1,3,1395,1215000,Westwood Park,7
Address: 173 Hartford Street #A,1,2,1027,981000,Eureka Valley - Dolores Heights - Castro,5
Address: 4318 17th Street #1,3,3,1720,1388000,Corona Heights,5
Address: 246 Eureka Street,1.5,2,1764,1800000,Eureka Valley - Dolores Heights - Castro,6
Address: 1001 Ashbury Street,5,4,3423,3295000,Parnassus - Ashbury,8
Address: 29 Park Hill Avenue,4,5,3000,4100000,Buena Vista Park,10
Address: 2286 Filbert Street,1.5,2,1160,1225000,Cow Hollow,6
Address: 1456 Chestnut Street #2,2,3,1670,2200000,Marina,6
